Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2001, 41, 46, 58, 51, 57, 53, 58, 49, 53, 48, 68, 52 
2002, 72, 74, 90, 56, 63, 55, 59, 53, 63, 55, 59, 42 
2003, 73, 55, 56, 52, 61, 47, 54, 65, 63, 73, 53, 72 
2004, 57, 67, 64, 58, 40, 41, 24, 42, 50, 61, 70, 48 
2005, 69, 54, 67, 67, 61, 64, 61, 60, 74, 77, 71, 65 
2006, 53, 66, 59, 45, 44, 60, 50, 66, 59, 67, 70, 75 
2007, 93, 66, 68, 71, 64, 55, 57, 57, 62, 57, 54, 46 
2008, 23, 32, 70, 49, 47, 44, 55, 39, 59, 62, 62, 51 
2009, 57, 49, 49, 57, 59, 61, 67, 61, 65, 59, 70, 58 
2010, 67, 75, 87, 82, 71, 60, 57, 59, 57, 65, 75, 45 
2011, 46, 45, 58, 61, 48, 54, 70, 69, 52, 60, 50, 46 
2012, 37, 39, 49, 60, 70, 59, 51, 57, 67, 72, 68, 44
2013, 61, 51, 59
